entry_date,exit_date,hold_days,entry_price,exit_price,pnl_pct,exit_type,peak_price
2007-06-15,2007-06-25,10,108.218,105.9274,-2.12,ema,108.3594
2007-07-06,2007-07-26,20,108.1544,104.6478,-3.24,ema,109.6319
2007-09-05,2007-10-22,47,104.4851,106.9342,2.34,ema,111.1536
2007-11-01,2007-11-02,1,107.2823,107.4031,0.11,ema,107.4031
2007-12-07,2007-12-18,11,107.1971,103.6241,-3.33,ema,108.0281
2007-12-26,2008-01-03,8,106.7948,103.4456,-3.14,ema,106.7948
2008-02-27,2008-03-04,6,98.704,94.9692,-3.78,ema,98.704
2008-03-28,2008-04-15,18,94.3772,95.6188,1.32,ema,98.3458
2008-08-07,2008-08-22,15,91.6037,93.5078,2.08,ema,94.2723
2008-12-11,2008-12-24,13,63.7923,63.3741,-0.66,ema,66.6504
2008-12-31,2009-01-12,12,65.9921,63.5862,-3.65,trail,68.3542
2009-03-20,2009-06-18,90,56.4992,67.9228,20.22,ema,70.0293
2009-07-02,2009-07-06,4,66.5214,66.514,-0.01,ema,66.5214
2009-07-17,2009-09-03,48,69.7212,74.5505,6.93,ema,76.5874
2009-11-10,2010-01-22,73,81.5589,81.7137,0.19,ema,86.0908
2010-02-23,2010-05-03,69,82.1626,90.4197,10.05,ema,91.5166
2010-06-21,2010-06-25,4,84.1013,81.429,-3.18,ema,84.1013
2010-07-15,2010-08-13,29,82.7953,81.7612,-1.25,ema,85.294
2010-09-09,2010-11-17,69,83.7314,89.7198,7.15,ema,93.1349
2010-12-02,2011-02-25,85,93.0135,100.9564,8.54,ema,102.6348
2011-03-30,2011-04-15,16,101.7321,101.1727,-0.55,ema,102.414
2011-07-01,2011-07-19,18,103.122,102.2056,-0.89,ema,104.2308
2011-09-19,2011-09-22,3,93.1212,87.3548,-6.19,trail,93.1212
2011-10-12,2011-11-18,37,93.4618,94.4138,1.02,ema,99.561
2011-12-06,2011-12-15,9,97.7266,94.5686,-3.23,ema,98.0903
2011-12-22,2012-03-08,77,97.5752,106.7431,9.4,ema,107.2805
2012-04-30,2012-05-07,7,109.4249,107.2579,-1.98,ema,110.1055
