entry_date,exit_date,hold_days,entry_price,exit_price,pnl_pct,exit_type,peak_price
2012-12-05,2012-12-31,26,57.7802,58.3079,0.91,ema,59.2492
2013-01-03,2013-02-27,55,59.8478,60.1969,0.58,ema,61.0922
2013-07-10,2014-01-30,204,66.1712,78.3462,18.4,ema,80.4113
2014-02-12,2014-03-26,42,80.5834,79.6444,-1.17,ema,82.8187
2014-05-14,2014-08-08,86,80.0637,86.7411,8.34,ema,88.8707
2014-10-29,2014-12-16,48,91.4459,91.6017,0.17,trail,97.1264
2014-12-19,2015-01-07,19,95.9342,93.2121,-2.84,ema,96.5963
2015-01-27,2015-01-29,2,93.2857,93.6995,0.44,ema,93.6995
2015-02-06,2015-03-30,52,94.8398,98.3762,3.73,ema,100.5874
2015-04-13,2015-06-10,58,99.0674,100.9201,1.87,ema,102.2751
2015-06-19,2015-06-30,11,101.5218,98.9165,-2.57,ema,102.3532
2015-07-17,2015-08-17,31,104.94,102.9445,-1.9,ema,105.3003
2015-10-12,2015-12-15,64,98.8979,104.0099,5.17,ema,106.6493
2015-12-30,2016-01-05,6,105.2193,101.5408,-3.5,ema,105.2193
2016-03-02,2016-04-29,58,98.3081,98.4973,0.19,ema,103.6308
2016-05-27,2016-06-20,24,102.606,100.1048,-2.44,ema,103.0253
2016-07-11,2016-09-15,66,103.6266,109.8948,6.05,ema,110.1564
2016-11-22,2016-12-05,13,111.3501,109.1962,-1.93,ema,111.3876
2016-12-08,2017-06-30,204,111.0411,129.9032,16.99,ema,135.1318
2017-07-14,2017-08-22,39,134.1314,135.1508,0.76,ema,136.7268
2017-08-23,2018-02-05,166,134.6693,149.8714,11.29,trail,162.0132
2018-02-21,2018-03-22,29,156.2219,154.5576,-1.07,trail,164.9989
2018-04-20,2018-04-25,5,154.0829,150.6177,-2.25,ema,154.0829
2018-05-08,2018-07-05,58,157.6621,164.5166,4.35,ema,168.6362
2019-01-16,2019-05-13,117,155.181,171.005,10.2,trail,183.0035
2019-06-18,2019-08-05,48,178.5028,173.4464,-2.83,trail,187.4196
2019-09-06,2019-10-02,26,183.8687,176.9888,-3.74,ema,185.4426
2019-10-15,2020-02-24,132,186.0955,213.3578,14.65,trail,228.3822
2020-04-14,2020-09-03,142,204.6087,278.0555,35.9,trail,292.9059
2020-10-06,2020-10-28,22,266.2042,262.7989,-1.28,trail,284.9438
2020-11-06,2021-02-25,111,285.0211,303.1967,6.38,trail,326.0894
2021-04-05,2021-05-11,36,321.2609,315.6906,-1.73,ema,331.8969
2021-05-28,2021-09-22,117,324.0557,359.456,10.92,ema,371.2412
2021-10-21,2021-12-03,43,366.9452,372.6449,1.55,trail,392.9339
2021-12-27,2022-01-07,11,392.9392,369.9362,-5.85,trail,392.9392
2022-03-24,2022-04-08,15,350.6872,340.4489,-2.92,trail,361.9397
2022-07-21,2022-08-22,32,300.296,307.1151,2.27,trail,325.3842
2022-11-15,2022-12-15,30,283.2287,270.9948,-4.32,trail,287.4665
2023-01-18,2023-02-21,34,272.6148,288.4588,5.81,trail,305.8136
2023-03-16,2023-08-11,148,300.9967,360.3504,19.72,trail,379.5369
2023-09-01,2023-09-21,20,371.5179,352.6149,-5.09,trail,371.9903
2023-10-13,2023-10-20,7,359.9262,349.4028,-2.92,ema,363.9957
2023-11-08,2024-04-16,160,367.4739,426.4169,16.04,ema,441.5309
2024-05-09,2024-07-19,71,436.2291,470.8246,7.93,trail,498.287
2024-08-21,2024-09-06,16,478.0171,444.5212,-7.01,trail,478.0171
2024-09-17,2025-01-02,107,469.0909,507.0161,8.08,trail,533.9191
2025-01-22,2025-02-27,36,528.162,497.1188,-5.88,trail,536.1216
2025-05-02,2025-11-17,199,486.4753,602.124,23.77,trail,634.1523
2025-12-03,2025-12-18,15,621.9335,607.5601,-2.31,ema,626.0131
2025-12-23,2026-01-22,30,621.3265,619.9783,-0.22,ema,626.3802
