date,baseline,sh_overlay,spy_bh
2021-03-09,1.0216706712460522,1.0191782715659696,1.0498386560854593
2021-03-10,1.0273759225870576,1.023551624326286,1.0563733912942377
2021-03-11,1.0265445096423294,1.0200762661275917,1.0670843480847176
2021-03-12,1.0293240424719245,1.0221245160950856,1.0685212520451326
2021-03-15,1.0290638672218884,1.0218661606204533,1.0748935855504973
2021-03-16,1.023075282111558,1.0159194621995258,1.073537660217236
2021-03-17,1.0294123723226256,1.0222122281295658,1.0771984986153633
2021-03-18,1.0206893234849517,1.013550191973615,1.0615254453335599
2021-03-19,1.0193102619045193,1.0121807761313701,1.0595613358433449
2021-03-22,1.0241382646525894,1.0169750097924493,1.068021869029382
2021-03-23,1.014558860245777,1.0074626077793005,1.0596157364139465
2021-03-24,1.0052434282076481,0.9982123318007825,1.0542292799160027
2021-03-25,1.008332526745196,1.0012798238806124,1.0601600087894256
2021-03-26,1.0180610979609623,1.0109403493671556,1.0772440990936616
2021-03-29,1.0142639028654605,1.0071697134552735,1.076700004497825
2021-03-30,1.0164973478578125,1.0093875367915968,1.0738436189819591
2021-03-31,1.021490102378881,1.0143453698823046,1.078196286858831
2021-04-01,1.0338944035753346,1.0266629101658045,1.089839964543628
2021-04-05,1.050980457798933,1.0436294573216738,1.1054825286167447
2021-04-06,1.051258517340093,1.0439055719971566,1.104829632879705
2021-04-07,1.0527377324813958,1.0453744408840366,1.1061081351786624
2021-04-08,1.058308339802909,1.0509060850290461,1.111358501360281
2021-04-09,1.0669446582820001,1.0594819974551128,1.119438586111392
2021-04-12,1.0696202898752496,1.0621389145527949,1.1198464126112613
2021-04-13,1.0742188527716134,1.066705313161236,1.1231652918670614
2021-04-14,1.0685701735822568,1.0610961432159465,1.1193296071905465
2021-04-15,1.0777253969910332,1.070187331131819,1.1313539110899118
2021-04-16,1.0831880857991578,1.0756118115910276,1.1351352840856463
2021-04-19,1.0750253154247642,1.0675061350745385,1.1295585144804186
2021-04-20,1.062086556986798,1.054657875768832,1.1212882055118445
2021-04-21,1.0745671900354237,1.0670512140073436,1.1318980945755697
2021-04-22,1.0622579287098364,1.0548280488457789,1.1215603861444947
2021-04-23,1.076794250754679,1.0692626977248683,1.133720691470364
2021-04-26,1.0816403523069138,1.0740749035994441,1.1360874718508158
2021-04-27,1.0821606778485269,1.0745915897648193,1.1358427581729302
2021-04-28,1.0818450984585946,1.074278217670207,1.135516354749321
2021-04-29,1.0898520050867346,1.0822291206172054,1.1427528750968232
2021-04-30,1.0845649070314296,1.0769790027550519,1.135244263006492
2021-05-03,1.083674349198672,1.0760946738592885,1.1376924664632038
2021-05-04,1.0759352612626008,1.0684097163674986,1.1306737261777502
