year,symbol,variant,is_thresh,is_sharpe,oos_ret,oos_bh_ret,oos_bl_ret,oos_sharpe,oos_max_dd,oos_trades,oos_suppressed,oos_blocked,oos_max_supp_dd,n_oos_days
2019,SPY,entry_gate,2.0,0.952026464384557,0.17196987002961195,0.31087469179131544,0.17196987002961195,2.5831556647730283,-0.030164195689830087,7,0,0,0.0,251
2019,SPY,combined,2.0,1.1613999971908862,0.253660867663144,0.31087469179131544,0.17196987002961195,2.420426219530318,-0.06618359619699199,3,4,0,-0.03949557010869875,251
2020,SPY,exit_filter,0.5,1.09035368971914,0.2803586322132461,0.17235288736209387,0.1500325814061345,1.6970489389184888,-0.0754091215549163,5,2,0,-0.06989457885005068,252
2020,SPY,entry_gate,4.0,0.9242034567363926,0.15866928153435844,0.17235288736209387,0.1500325814061345,1.2542631160646553,-0.06989457885005057,3,0,1,0.0,252
2020,SPY,combined,0.5,1.1733247329164942,0.28997407593353364,0.17235288736209387,0.1500325814061345,1.7874418141972668,-0.06989457885005057,3,2,1,-0.06989457885005068,252
2021,SPY,exit_filter,0.5,1.2701827518393587,0.19492089863050976,0.30505466635116774,0.06461214260338966,1.7426068571190256,-0.051141332062391354,3,5,0,-0.021122511395909482,251
2021,SPY,entry_gate,2.5,0.9556828601826026,0.06392927052880104,0.30505466635116774,0.06461214260338966,1.0763407969810135,-0.039585942402587504,4,0,3,0.0,251
2021,SPY,combined,-1.0,1.2885003985519412,0.22301005175444955,0.30505466635116774,0.06461214260338966,1.9192313178839076,-0.05114133206239202,1,6,0,-0.039585942402587726,251
2022,SPY,exit_filter,0.5,1.2888895132994014,0.013895698254699829,-0.1864640723096448,0.013895698254699829,0.1758852534717444,-0.10390984208047815,8,0,0,0.0,250
2022,SPY,entry_gate,2.5,0.9823232860752144,0.0,-0.1864640723096448,0.013895698254699829,,0.0,0,0,4,0.0,250
2022,SPY,combined,2.5,1.349748746960414,0.0,-0.1864640723096448,0.013895698254699829,,0.0,0,0,4,0.0,250
2023,SPY,exit_filter,0.5,1.1558682035446837,0.2299118917441767,0.26709219554611363,0.09850568192649334,1.952918949986875,-0.07538771668092903,5,4,0,-0.07538771668092947,249
2023,SPY,entry_gate,2.5,0.935815375946901,0.10357417473039421,0.26709219554611363,0.09850568192649334,2.069317639516163,-0.0279252623552263,3,0,2,0.0,249
2023,SPY,combined,2.5,1.302839653643086,0.10357417473039421,0.26709219554611363,0.09850568192649334,2.069317639516163,-0.0279252623552263,3,0,2,0.0,249
2024,SPY,exit_filter,0.5,1.2198357075459072,0.1442920668073242,0.2558930569325606,0.03544747869467302,1.3422688391193567,-0.08405616148572981,1,5,0,-0.08405616148573014,251
2024,SPY,entry_gate,2.5,1.0382580139645503,0.04150347791086717,0.2558930569325606,0.03544747869467302,0.7023736395305782,-0.050409333740686346,4,0,3,0.0,251
2024,SPY,combined,2.5,1.3335269436795165,0.04150347791086717,0.2558930569325606,0.03544747869467302,0.7023736395305782,-0.050409333740686346,4,0,3,0.0,251
2025,SPY,exit_filter,0.5,1.4475601586079148,0.2288883932501915,0.18009014616634111,0.17044236908793287,2.096674104118288,-0.050713604177726745,3,4,0,-0.03057443623558531,249
2025,SPY,entry_gate,2.5,1.2933515972143577,0.0,0.18009014616634111,0.17044236908793287,,0.0,0,0,3,0.0,249
2025,SPY,combined,-0.5,1.5080792122722189,0.14406423678262792,0.18009014616634111,0.17044236908793287,0.8040646980739296,-0.18755238717833633,1,10,0,-0.18755238717833633,249
2026,SPY,exit_filter,0.5,1.4635537007835087,0.07260931158753481,0.08953447287954663,0.07182774540816705,1.667787747277775,-0.08682777081098503,1,3,0,-0.08682777081098547,90
2026,SPY,entry_gate,1.5,1.1234067975749151,0.09177689235159692,0.08953447287954663,0.07182774540816705,4.425949568164763,-0.008533524986046315,1,0,1,0.0,90
2026,SPY,combined,0.5,1.4873252869039766,0.07260931158753481,0.08953447287954663,0.07182774540816705,1.667787747277775,-0.08682777081098503,1,3,0,-0.08682777081098547,90
2010,QQQ,exit_filter,-1.0,0.6257173880426474,0.2292934662917867,0.1840971953570123,0.17564155198410147,1.530786231898973,-0.15823262451892028,3,4,0,-0.08683470597290277,251
2010,QQQ,entry_gate,3.5,0.5242883719695989,0.1554803362656798,0.1840971953570123,0.17564155198410147,1.7423167743242371,-0.05012779788658561,3,0,2,0.0,251
2010,QQQ,combined,1.0,0.8686987372737061,0.2292934662917867,0.1840971953570123,0.17564155198410147,1.530786231898973,-0.15823262451892028,3,4,0,-0.08683470597290277,251
2011,QQQ,exit_filter,0.5,0.8291088882215782,-0.044637370691758216,0.018855547560075125,-0.13489444820326713,-0.24120145662736003,-0.1356511540779649,7,4,0,-0.09662589699162849,251
2011,QQQ,entry_gate,4.0,0.6625596975215188,-0.00870024107017231,0.018855547560075125,-0.13489444820326713,-0.060170531025103786,-0.05276536301150481,2,0,5,0.0,251
2011,QQQ,combined,0.5,0.9486916497827225,-0.01679333591009624,0.018855547560075125,-0.13489444820326713,-0.05820148575856686,-0.11045971515098008,5,4,1,-0.09662589699162849,251
2012,QQQ,exit_filter,-1.0,0.8348430995882227,-0.020962632664186964,0.15891421234220626,-0.04358328672267686,-0.09442559718005979,-0.11637969761069089,1,7,0,-0.10157611101773778,249
2012,QQQ,entry_gate,5.0,0.6098467020856705,0.0,0.15891421234220626,-0.04358328672267686,,0.0,0,0,4,0.0,249
2012,QQQ,combined,1.0,0.9008363758693925,-0.03978778892176438,0.15891421234220626,-0.04358328672267686,-0.793993602636043,-0.05969056159531971,3,1,2,-0.03628503998370314,249
2013,QQQ,exit_filter,-1.0,0.7444401092703399,0.21089594268401157,0.3242532662409101,0.21089594268401157,2.489943020834155,-0.033885100793847434,1,0,0,0.0,251
2013,QQQ,entry_gate,4.0,0.8172862116976773,0.21089594268401157,0.3242532662409101,0.21089594268401157,2.489943020834155,-0.033885100793847434,1,0,0,0.0,251
2013,QQQ,combined,3.5,0.7871675710210507,0.21089594268401157,0.3242532662409101,0.21089594268401157,2.489943020834155,-0.033885100793847434,1,0,0,0.0,251
2014,QQQ,exit_filter,-2.5,0.9649188996732299,0.18054003568947485,0.20123707495274945,0.06494958548257146,1.3830852935259796,-0.08248538230254365,1,7,0,-0.07421095996615823,251
2014,QQQ,entry_gate,4.0,1.0374714407299102,0.06494958548257146,0.20123707495274945,0.06494958548257146,0.8943650859477178,-0.06244717548372858,7,0,0,0.0,251
